Period,births[0],births[1],births[2],births[3],births[4],births[5],births[6],births[7],births[8],births[9]
0,,,,,,,,,,
1,13,7,7,7,5,5,6,11,6,8
2,11,8,4,10,6,8,9,6,7,7
3,4,11,7,5,2,11,7,9,1,10
4,8,6,7,9,9,4,7,7,10,7
5,7,8,8,8,8,6,2,6,11,6
6,5,9,10,6,10,6,2,7,9,8
7,10,9,9,5,6,9,8,3,6,3
8,5,8,2,4,7,4,7,6,4,8
9,7,9,7,9,7,3,6,7,3,8
10,10,10,9,6,10,4,3,3,6,7
11,8,10,8,5,7,7,5,7,10,11
12,9,6,6,6,5,12,8,9,6,11
13,7,2,7,6,8,6,9,7,6,11
14,7,7,8,10,10,6,7,10,6,8
15,5,8,4,10,8,4,12,6,9,5
16,6,8,9,4,9,11,8,5,3,5
17,8,7,5,5,10,5,4,7,7,6
18,5,9,6,15,6,5,11,6,7,6
19,9,5,10,7,11,10,10,5,1,7
20,4,5,6,7,4,7,9,9,3,6
21,8,7,6,6,7,11,10,4,9,8
22,4,6,9,5,12,9,4,6,9,7
23,6,10,8,8,6,7,7,2,10,8
24,4,5,5,8,4,10,10,5,15,9
25,8,8,11,9,9,5,4,5,8,12
26,9,6,7,13,8,10,7,8,10,3
27,7,8,7,8,5,8,6,1,8,8
28,11,7,12,8,6,10,8,6,10,3
29,15,5,9,6,5,13,6,9,5,7
30,7,9,2,6,5,13,7,9,6,5
31,6,11,12,8,11,4,9,6,7,5
32,7,8,12,4,3,9,5,8,5,9
33,7,5,6,6,9,6,5,7,10,5
34,5,6,9,3,6,2,8,6,5,5
35,12,9,6,11,12,10,11,9,6,8
36,9,5,8,8,10,6,9,3,13,9
37,9,9,7,10,7,6,11,12,10,6
38,8,6,9,10,6,11,5,7,6,4
39,7,5,9,10,6,4,2,9,6,4
40,5,9,6,5,8,13,7,10,5,8
41,8,11,6,6,6,5,7,2,10,4
42,2,11,3,12,9,10,10,9,4,14
43,9,5,7,10,10,11,4,8,6,10
44,6,6,10,10,11,9,9,14,3,10
45,6,16,11,9,8,11,9,4,5,5
46,11,6,9,5,10,8,8,6,7,12
47,7,9,7,7,16,7,6,10,6,9
48,6,6,10,8,9,7,5,4,8,8
49,11,6,7,7,8,8,9,6,10,8
50,8,7,12,7,6,7,6,10,8,8
51,3,7,9,5,8,10,11,7,8,4
52,3,0,0,0,1,0,2,1,3,0
53,,,,,,,,,,
Period,births[0],births[1],births[2],births[3],births[4],births[5],births[6],births[7],births[8],births[9]
0,,,,,,,,,,
1,6,5,6,8,8,7,7,6,7,4
2,4,6,5,2,6,6,5,3,7,8
3,7,9,2,7,6,5,9,5,7,3
4,7,7,4,10,6,9,7,8,6,8
5,4,7,8,8,9,5,6,9,5,6
6,9,7,3,9,3,7,11,12,12,6
7,8,7,7,7,7,2,12,12,8,11
8,9,9,15,5,3,8,8,15,4,9
9,6,11,8,8,11,6,10,9,5,5
10,10,6,11,6,8,7,6,4,7,6
11,10,10,6,6,8,3,8,3,6,12
12,8,7,5,9,5,9,4,5,7,13
13,8,6,11,5,10,8,4,4,6,9
14,8,5,10,8,2,6,10,5,9,8
15,8,9,7,9,8,6,5,6,2,4
16,11,10,7,7,9,8,6,7,6,8
17,7,8,8,6,5,7,5,8,7,8
18,5,6,11,9,12,8,6,2,13,5
19,11,8,2,6,5,11,6,8,7,6
20,8,7,6,7,5,7,4,10,8,5
21,12,7,9,9,10,10,6,7,9,7
22,6,6,14,6,7,8,11,6,4,10
23,4,14,8,6,9,6,10,6,10,7
24,11,8,7,10,15,7,5,5,10,2
25,1,10,5,6,4,5,5,8,8,8
26,8,9,9,6,12,9,6,5,6,8
27,6,2,7,8,8,12,7,6,5,7
28,6,6,9,7,9,4,6,6,8,7
29,10,7,9,10,7,9,5,8,10,10
30,6,7,3,9,7,7,8,9,11,10
31,14,6,6,12,11,8,11,10,6,5
32,10,6,10,16,9,9,5,8,12,10
33,8,2,4,9,6,4,13,7,10,8
34,10,12,7,9,9,11,7,10,4,10
35,7,8,5,6,3,7,8,13,13,8
36,6,9,9,6,8,9,11,6,7,11
37,5,9,6,7,3,7,13,11,7,7
38,13,6,7,8,9,8,6,5,7,5
39,2,3,7,7,6,7,13,10,10,11
40,7,5,11,7,7,4,9,6,5,5
41,8,8,10,9,4,3,9,6,14,8
42,12,9,17,12,7,8,7,7,5,10
43,9,6,4,6,7,7,6,13,7,6
44,9,11,10,7,6,7,12,5,6,5
45,8,8,8,3,9,7,10,10,9,6
46,8,8,2,8,9,7,4,12,11,5
47,5,4,11,3,11,6,4,6,11,8
48,4,3,8,15,6,7,8,8,9,9
49,9,4,6,8,4,10,7,3,8,9
50,1,10,7,7,3,13,6,5,8,8
51,4,11,10,8,8,11,3,4,8,5
52,0,0,1,1,1,2,1,0,2,0
53,,,,,,,,,,
Period,births[0],births[1],births[2],births[3],births[4],births[5],births[6],births[7],births[8],births[9]
0,,,,,,,,,,
1,3,5,6,5,4,7,8,9,11,8
2,7,10,8,4,9,7,8,4,5,8
3,9,14,12,6,6,4,6,9,11,9
4,5,5,4,6,8,3,9,6,7,9
5,4,6,4,10,8,4,7,6,8,6
6,5,5,6,7,8,5,6,4,13,9
7,7,10,10,7,8,7,7,4,13,5
8,6,7,8,7,10,9,6,5,5,5
9,8,7,4,9,9,4,8,5,3,10
10,5,15,10,6,7,7,11,6,5,10
11,17,8,11,2,5,10,6,6,9,4
12,7,5,5,4,10,10,5,6,9,5
13,6,7,13,6,8,5,4,6,9,7
14,9,7,9,4,6,6,2,6,3,9
15,6,7,8,9,11,6,13,6,2,5
16,7,4,5,13,6,8,10,7,8,2
17,10,9,11,5,6,9,6,3,6,4
18,3,8,6,7,12,7,2,5,7,8
19,4,9,5,11,8,14,8,6,3,11
20,6,7,7,4,13,6,9,5,10,9
21,9,6,5,13,11,3,6,5,6,9
22,10,8,12,10,3,10,7,12,9,6
23,8,7,4,6,3,13,1,7,4,5
24,10,11,5,10,9,8,13,7,8,8
25,11,5,3,8,7,6,6,10,7,5
26,6,5,7,15,5,3,7,2,11,7
27,8,10,6,1,8,9,10,5,1,11
28,5,5,9,7,5,4,7,11,9,5
29,5,5,7,7,6,12,6,9,7,4
30,4,9,8,6,6,8,7,10,7,6
31,4,5,7,6,8,10,7,11,7,2
32,7,6,7,5,7,11,7,7,3,11
33,9,7,10,6,10,3,10,4,10,9
34,8,7,12,9,11,8,8,7,7,5
35,8,6,9,4,5,4,2,3,8,4
36,5,8,8,3,16,3,9,8,7,8
37,9,3,9,3,9,6,12,5,10,7
38,7,17,11,18,10,9,7,4,10,5
39,7,7,8,4,9,7,10,7,12,9
40,6,7,12,12,12,9,5,9,9,7
41,11,7,9,10,10,6,12,7,5,15
42,10,10,5,6,14,8,10,7,6,9
43,11,10,2,7,6,9,8,7,2,7
44,10,9,8,8,7,8,6,2,5,7
45,9,5,7,7,4,9,10,6,7,8
46,3,9,11,8,10,12,7,12,8,4
47,9,17,10,6,7,8,9,7,9,1
48,8,8,8,4,7,8,11,4,5,8
49,5,10,6,11,9,6,8,6,10,9
50,5,9,16,9,7,8,7,4,7,9
51,7,10,11,8,4,7,9,9,4,11
52,0,3,2,2,2,0,1,0,1,0
53,,,,,,,,,,
