,Total deaths,Average # deaths,Minimum # deaths,Maximum # deaths
deaths[0],53.000000,11.018868,2.000000,292.000000
deaths[1],53.000000,11.320755,1.000000,301.000000
deaths[2],53.000000,10.528302,2.000000,279.000000
deaths[3],53.000000,11.943396,0.000000,317.000000
deaths[4],53.000000,11.245283,1.000000,299.000000
deaths[5],53.000000,12.150943,1.000000,323.000000
deaths[6],53.000000,11.584906,1.000000,307.000000
deaths[7],53.000000,11.905660,1.000000,316.000000
deaths[8],53.000000,12.075472,2.000000,321.000000
deaths[9],53.000000,12.113208,2.000000,321.000000
,Total deaths,Average # deaths,Minimum # deaths,Maximum # deaths
deaths[0],53.000000,11.150943,0.000000,296.000000
deaths[1],53.000000,11.528302,2.000000,306.000000
deaths[2],53.000000,11.264151,2.000000,300.000000
deaths[3],53.000000,11.150943,2.000000,297.000000
deaths[4],53.000000,12.150943,1.000000,322.000000
deaths[5],53.000000,11.283019,2.000000,300.000000
deaths[6],53.000000,11.018868,1.000000,292.000000
deaths[7],53.000000,11.849057,2.000000,314.000000
deaths[8],53.000000,10.641509,1.000000,283.000000
deaths[9],53.000000,11.867925,2.000000,315.000000
,Total deaths,Average # deaths,Minimum # deaths,Maximum # deaths
deaths[0],53.000000,10.849057,0.000000,288.000000
deaths[1],53.000000,10.207547,1.000000,271.000000
deaths[2],53.000000,10.000000,2.000000,265.000000
deaths[3],53.000000,10.547170,1.000000,280.000000
deaths[4],53.000000,11.811321,1.000000,313.000000
deaths[5],53.000000,12.132075,1.000000,322.000000
deaths[6],53.000000,10.943396,1.000000,290.000000
deaths[7],53.000000,11.264151,1.000000,299.000000
deaths[8],53.000000,11.018868,2.000000,292.000000
deaths[9],53.000000,10.245283,1.000000,272.000000
